Model,Test Accuracy,Test Precision,Test Recall,Test F1,Synthetic Distant-Object Accuracy
Custom CNN (rebuilt, LR fixed),0.8279,0.8132,0.7872,0.8000,0.7333
Transfer Learning MobileNetV2 (rebuilt, distance-augmented),0.9628,0.9574,0.9574,0.9574,0.8333
